foodCategory,images,rating,visitReviewCount,blogReviewCount,review
x,x,x,x,x,x
닭요리,[],4.25,81,4,"['닭날개 추천요.', '굿', '맛있어요', '맛있고 직원분들도 친절친절!! 진짜 부가네 짱입니다', 'ㆍ', 'ㆍ', '.', '매번 시켜먹다가 \n저녁산책 겸 가서 먹었어요\n라면도 맛있고 날개도 맛있었어요\n\n다만 \n알바 분이 음식 나올때마다 던지듯이 밀어주시는데 기분이 좀 ^^ ...\n잼잼이 주문했는데 저희보다 늦게 주문한\n배달 주문 다 나올동안에도 \n안나와서 물어보니 아..드릴께요 하더니 \n나와서도 미안하단 말한마디 없이 툭 던지네요\n\n여기 부가네 가실분은 시켜서 드세요\n알바분이 친절하진 않아요', 'ㅠ', '잘먹었습니다', '맛이 좋아요!!', '맛있어요', '매운맛 당길때 좋아요', '맛있어용 ~~ 😋😋', '매운닭발지존이 아닐까요.. 매운데 정신없이 흡입…불향이 짱이에요. 닭날개와 라면도 강추!', '매운낡개는 먹을수록 더 땡겨요', '조아요', '나이스', '굿', '맛나고 저렴해요 좋아ㅛ 얼큰!', '굿', '굳', '👍', '맛있어요', '1번째방문', '구ㄷ', '제이엠티입니당🌟🌟🌟 친절하시고 정말 맛있어요ㅠㅠ', '', '맛있어요 진짜!\n서비스로 달걀찜도 주시고\n센스 짱!', '부가네 중 채고']"
해장국,"['""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200327_45%2F1585307460298AJ60M_JPEG%2F_em2zha0LmEcyv3bEjfedRGA.jpg""']",4.34,146,38,"['해장국 제주 도착해서 첫날 먹은 음식.\n여행의 시작이 좋았어요', '음식이 깔끔하고 맛있습니다', '내장탕 먹었는데 맛도 좋고 가성비 있어요', '매콤칼칼한 내장탕을 원하신다면 복희해장국 추천!!', '현지인 맛집이라는 추천을 받고 찾아가서 먹었는데 기대 이상으로 맛있더라고요 재방문 의사 있습니다', '맛있어요. .\n해장하기 좋습니다.', '메뉴 달랑 두개\n해장국 내장탕\n자신감...\n새로운 맛', '사장님과 직원분들이 화가많이나셨나봐요. 불친절했습니다. 기분탓인지 해장국도 별로인듯하네요. 두번 방문은 없을듯합니다.', '우연히 숙소 앞에 있는 가게를 들어가서 처음 먹었는데 너무 맛있어서 제주오면 다시 먹어야지 한게 벌써 7년전인데 이번 제주도 와서 드디어 먹고 왔네요 그대로 맛있아요:)', '', '맛남', '제주항 수협근처 어시장 갔다가...시장이반찬이라 그런지 한그릇 뚝딱~', '내장탕과 해장국이 너무 맛있어요', '제주여행 첫 식사 맛있게 잘먹었습니다', '좋아요', '국물이 찐하고 끝내줍니다.한끼식사로 간단하고 든든한 메뉴로는 최고네요', '그냥 무친절에 평범한 해장국 선지도 양이적고 별로임 맛집은 절대아님', '굿', '사장님 친절하세요^^\n맛있고 푸짐해요 동네분들 많이 오시는 맛집이네요\n제주항 ㆍ공항 가까워서 좋아요\n해장국(사진) 내장탕 있습니다', '좋아요', '괜챤아요', '해장국 내장탕 둘다 시원하고 맛있어요', '좋아요', '..', '.', '맛있어요', '현지인맛집이라고해서 가봤어요\n양이엄청나고 맛나네요~~♡', '제주 해장국 맛있네요', '자극적이지 않고 깔끔하니 맛있어요', '굿굿']"
x,x,x,x,x,x
"맥주,호프",[],4.15,73,7,"['좋아요!', '좋아요', '사장님이 넘넘 친절하세요 꿀자몽하이볼도 맛있었어용!!!', '사장님 너무 친절하고 이야기 하기 너무 좋은 분위기에요. 다음에 또 오고 싶어요', '사장님께서 인사를 잘해주셔서 마지막까지 기분좋게 먹다 갑니다!! 친절한집 너무 좋아요.', '여러사람이 방문하기도 좋고 혼자 마시기도 좋은곳 입니다. 청결한 매장입니다.', '맛나고', '봉구비어 👍🏻 맥주 한잔하기 좋은 곳 :-)', '제주 이사오고 첨 가봤는데 ~ 사장님 넘 친절하세요! 안주 3개 먹었는데 궁물떡볶이 맵게 요청하니 만들어주시고!! 무조건 가세요!! 저도 또 갈거에요', '굿', '굿', '사장님이 참 친절하시고 좋아요 ㅎㅎㅎ 기본 안주로 팝콘이나 약과 주시는 것도 언제나 감사해요^^', '다른데서 병맥주 먹는데 생맥주 순환 빠른곳! 생맥주는 순환빠른곳이 더 좋아요 (갠적 속닥속닥)', '일부러 찾아갈만한 메리트가 큰 동네술집!!\n사장님이 너무 친절하세요 😍❤\n매일 찾아가고픈 맛집이에요 👏👏👏', '맛있어용', '봉구비어 인테리어 맛집&가성비 호프집, 오랜만에 맡는 호프집냄새~,여기껀 아니지만인터넷에서 봤다가 궁금해서 처음 시켜본 하이볼 (위스키+탄산수)인데 입에 맞아요. 내취향~ 담에도 이거 시켜야징~ 소주도 그냥은 못먹는 내입맛에 달달구리 계속마시다간 취할지몰라도 한잔은 갠춘! 사장님도 친절.기본마른안주 혜자로워~ 잠시 호프집 음악감상까지 갓벽한 2차였다.', '사장님이랑 직원분이 너무 친절하시고\n매장 분위기랑 음식도 맛있었어요 :-)\n자주자주 가고싶은 곳입니다 👍', '친절하시긴 하나 살짝씩 보이는 주방이 청결해 보이지 않아서 그게 조금 아쉽네요ㅠㅠ', 'ㅈ', '사장님도 친절하시고 포장도 꼼꼼히 해주셔서 좋았어요~!', '봉구비어 가서 맛나게', '하이볼 맛집?????', '감자튀김 치즈스틱 존맛', '맥주탄산이다빠져있었어요', '', '', '', '', '', '']"
바(BAR),[],x,36,24,"['좋아요', '입구 넘 신기 \n맛있는 술들 잔뜩 분위기도 너무 좋고 \n매니저님의 서비스도 좋아서 만족하고 돌아갑니다', '술한잔 하기 좋은 공간 입니다. 실력좋으신 바텐더분들의 수준급 칵테일 실력과 지식을 들을수도 있구요~ 맛있는 술들도 다양하게 준비되어 있어 좋습니다. 새벽 3시까지 영업해서 늦은 밤 혼자 한잔하러가기에도 부담없이 좋습니다~!👍', '분위기좋고 친절해요 ㅎㅎ', '정말 제주와서 최고의 행복을 선물받고 갑니다 너무너무 뜻깊은 기억입니다 제가 금액을 지불했지만 제가 너무너무 감사합니다', '제주 여행가서 가보고 싶었던 바에 가서 시가도 태워 보고 좋은 분위기에 친절한 직원분들과 좋은 추억을 보냈습니다. 다만 뒤늦게 영수증을 확인했는데 갓파더가 4잔으로 계산되어있네요. 제 기억엔 분명 일행과 한잔씩 마셨던거 같은데요. 시간이 좀 지나서 가게에 따로 연락을 취하진 않았지만 제발 실수 이길바래봅니다. 제주에서 좋았던 추억이 퇴색되길 바라지 않습니다.', '단연 제주 최고의 스피크이지 위스키바', '분위기, 친절함 두말할거없음\n다양한 종류 기본으로 나오는 샐러리도 존맛탱\n술에 취하고 분위기에 취하는 바로 그곳🥃', '전화한통 걸려고 들어갔다 나왔는데 왜 위스키를 마시고 나온 것 같지?', '내부 흡연이 가능한 쾌적한 공간. 코트를 받아주는 서비스가 있었으면 좋겠다. 시트 차지에 대한 직원의 교육이 매우 절실하다. 한남점에 비해 적은 위스키의 종류와 칵테일은 조금 아쉬웠다. 페이에 맞는 수준에 믹솔로지스트가 필요하다', '시가바인 것은 이해하지만 손님들이 일반 연초까지 피우셔서, 술 맛이 하나도 안 느껴졌어요. 단골 중심의 가게인지 처음 갔는데 소외된 느낌을 받아서 접객에 있어서도 좀 아쉬웠습니다. 하지만 술은 다양하고 가격도 괜찮아요.', '친절해요', '신세계', '담배냄새랑 가격빼고는 괜찮아요', '칵테일..분위기.. 굿~\n예전만큼은 아니지만 \n취향얘기하면 메뉴판에없는것도 만들어줌\n친절스~ 칵테일맛남 \n모히또존맛', '잔이 다 너무 예쁨! 들어갈때부터 프라이빗하고 신선한 곳~! 몰트바 추천드려욤', '굿', '상황에 따라 비흡연자분들은 조금 힘들 수도 있지만..! 추천도 잘해주시고 주류 종류도 많고 친절하셨습니다. 전반적으로 만족', '기본안주가 아주 훌륭해요ㅎㅎ 커버차지가 인당 만원씩 있으니 그럴만도.? 칵테일도 취향에 따라 만들어주시고 다양한 위스키가 많아 좋지만 시가바라서 비흡연자에게는 비추합니다', '제주의 시간중 제일 좋았던 시간이예요💕\nKRIS매니저님 추천도 넘 좋고 친절하셨어요\n지난번 기억이 넘 좋아서\n뉴욕에서 온 지인 데려왔는데 너무 좋아하더라고요\n다음에도 또 오도록 할께요', '진토닉에 토닉워터가 탄산이 없어 다시 부탁드렸어요,,,', '분위기 넘 좋아요', '', '', '', '', '', '', '', '']"
"매운탕,해물탕","['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190106_224%2F1546729028717tUoS7_JPEG%2F_6-DjEqyA2UtS-1tOjSiJnid.jpg""']",4.42,358,232,"['반찬도깔끔ᆢ\n고니가많은 동태탕이에요~~\n맛잇게먹엇슴니다~~', '평일 오전이라 그런지 한산했어요! 대기 없이 먹을 수 있어서 넘 좋았슴니당 ㅎㅎ 알하고 고니가 많아서 너무 좋아요🤩', '이번이 세번째 방문이었어요. 두번은 동행이랑 같구요. 매번 느낀 거지만, 이번에 확실히 느꼈어요. 무가 많이 들어서 단맛이 강하구요. 국물이 너무 자박자박해서, 짜글이찌개 느낌이예요. 그래서 시원칼칼한 동태찌개 느낌은 적어요. 양은 풍부해서 매전 남기게 되네요. 그래도 밑반찬이 다양해서 밥 한공기 뚝-딱하기 좋아요. 20여분 기다리는 건 보통이고 재료소진으로 일찍 마감될 때도 있어요. 이번에는 기다리지 않고 먹었어요. 하지만 앞으로는 웨이팅하면서까지 먹고 싶을 정도는 아니러서 주변에 다른 동태찌개집에 갈듯하네요.', '😀', '언제나 슬기식당', '좋아요', '먹어도 먹어도 줄지 않는 동태', '역쉬이 굿!!!', '좋아요', '얼큰한 동태찌게 후딱 한그릇 먹고 싶다면 딱.\n고니와 동태가 후하게 들어있다.\n맑은 스타일 아니고 좀 걸쭉힌 스타일.', '', '', '', '', '', '', '', '', '동태탕 내용물이 푸짐해요..\n맛은 좀 진해서 호불호는 좀 있을수도...', '이번에도 못먹나 걱정했는데 \n오늘 점심은 마지막으로 웨이팅하고 드디어 먹었네요~~\n12시 좀 넘어서 솔드아웃~\n칼칼한 동태찌개 맛있었요~', '역쉬 슬기는 맛으로는 배신을 안하지......여사장님 의리있고......2002년부터 쭈우욱....\n초창기 김치찌개..고기국수...제주 원탑이었는데...그립네용....ㅡ', '오랫만에 방문이고 지난 주말 8월 휴가 \n인거 모르고 낭패봤다가 재도전.\n잘먹었습니다~^^\n국물맛이 약간 텁텁해서 약간 실망하긴핸요!!', '가끔 동태찌개의 매운 맛이 그리울 때면 항상 찾아개는 곳.', '제주건입동 찐 도민맛집 슬기식당에서 동태탕 먹었어요\n국물이 시원해서 막걸리를 부르는 맛이지만 마시지\n못해 아쉽네요 ㅎㅎ\n웨이팅 있지만 기다릴 가치가 있어요 \n오늘 일부러 12시 되기 전인 11시40분쯤 갔는데 앞으로 두 팀 웨이팅 있었어요 ㅎㅎ\n하지만 먹고 나왔을 때는 더 많았다는 사실 ㅋㅋ\n왠지 모자지간에 함께 운영하는 식당 같아요\n회사에서 멀지 않아 자주 가게 될 거 같아요\n반찬도 맛있어요 특히 오뎅볶음 ㅎㅎ\n동태살도 실하고 고니도 많이 넣어 주셔서 양이 많아요 \n제주도민맛집 원하시면 추천드려요\n10시-2시까지 운영하시지만 재료 소진되면 바로 마감이니 일찍 가세요~~', '', '12시 10분 입장. 우리 뒤로는 재료 소진', '정말 맛있습니다~^^', '레알 동네 가성비 맛집', '맛있어요~', '동태찌개 생각나면 항상 여기만 간답니다 ㅎ']"
닭발,"['""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_182%2F1573167784708DKb22_JPEG%2FHyazs3b5sITRoU6xkYa6ll33.jpg""']",4.68,92,19,"['뜨끈닭발맛나요', 'ㆍ', '그다지 맛은 별로임', '콩나물이랑 무뼈닭발이랑 조화롭게 너무 맛있어요!', '굿', '좋아요^^♡군', '굿', '어제 지인들이랑 뭘 먹을까 하다가 매운게땡긴다하여\n헝그리 가자고해서 방문햇는데 직원분들 너무 친절하시고 날개&닭발 너무 맛잇었어요~~~~계속 가고싶은 중독성 갑 헝그리 포차 닭발집ㅎㅎㅎ담에또 머그러갈게요 항상 행복하세용😍', '통뼈 오동통 존맛', '배달시켜서 혼밥.혼술이 편ㄹ하다', '배달 시켜서 먹기 편리한곳', '좋아요', '옛날통닭 맛있어요.', '국물닭발이랑 김가루밥 환상의조합!! 맛있어요', '항상 맛있어요~~~!!!', '깔끔하고 맛있어요', '제주에서 먹어본닭발 맛있어요.\n또다시 찾아갈듯합니다', '완전 맛있어요', '맛있어요', '여긴 언제나 늘좋아요', '굿~~', '맛있어용!!', '좋아요', '맛좋습니당!!!!! 통닭은 꼭드세요!!!!!', '', '가격이비싸지만맛있어요!!', '엄청 맛있어요', '', '2차로 방문한곳이예요 술마시면서 2차하기 좋습니다', '맛있게 잘 먹었어용']"
요리주점,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220711_46%2F1657538846696cX3xv_JPEG%2F284603812_731037214601371_705520189064306922_n.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220627_60%2F16563277499663js2k_JPEG%2FKakaoTalk_20220618_122152315_10.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220627_109%2F1656327750057cYdpJ_JPEG%2FKakaoTalk_20220618_122152315_15.jpg""']",x,149,118,"['항상 먹으러 방문하는 스지수육! 정말 맛잇오요\n하이볼도 강추 드립니다!!!! \n맛별로 도전해보고 싶은 가게👍🏻👍🏻👍🏻\n먹는 하이볼마다 정말 다 맛나여,, 영롱하게 맛있어요,,,\n스지수육은 스지는 쫀득하고 국물은 얼큰하니 시원하고 수육는 담백하니 정말 소주 부르는 맛이에요~!!\n사장님과 직원분들도 넘너무 친절하셔서 기분좋게 한잔 하구 왔습니다!!! 담에 또 방문할게용🫶🏻', '친구들이랑 돌판스지수육을 먹으러 방문했어요 !! !!\n개인적으로 넘 맛있어요 !! 국물이 너무 칼칼했고, 시원했어요 ~ 라면사리까지 추가해서 맛있게 먹었어요 사장님도 너무 친절하시고 필요한거 있으면 바로 오시고 가져다주셨어요 !! 너무 맛있고 좋았어요 ! 다음번에 재방문하고 싶은 곳이였어요 !', '제주시에서 연인과 함께 데이트 마무리하기 좋은 제원술집!!👍', '스지랑 수육 부드럽고 양도 많고 소주 안주로 찰떡이에요!! 남은 거 아까워서 포장해갈 정도로 존맛👏 강된장 쌈밥은 남친이 한입 먹고 눈이 휘둥그레지더니 너무 맛있다고 극찬하더라구요ㅋㅋㅋ 분위기 좋고 사장님도 세상 친절하십니당🥺 제주도 여행 와서 어쩌다 들어간 곳인데 다음에 이쪽 오면 또 방문할 듯 해요👍💗', '음식 깔끔하니 플레이팅 좋고 사장님도 친절하시고 분위기도 좋아서 술 한잔하거나 반주하기도 왕굿입니닷!!!👏😀', '스지차돌김치찌개에 솔담주먹밥, 우삼겹숙주볶음 먹었는데 너무너무너무 맛있었어요💗\n특히 김찌는 정말 밥도둑 ㅠㅠ 스지랑 고기도 듬뿍 들어있었어요~~\n직원분들도 너무 친절하시구~~!! 분위기 너무 좋아서 또 오려구요💗', '사장님께서 여행와서 여기도 와주셨다고 친절하게 잘해주시고 맛도 끝내주네요.\n앞으로는 제주도 1맛집 할래요~^^', '매번 자리가 없어서 못들어갔는데..\n테이블이 몇개 없네요 ㅎㅎ\n음식 맛이 괜찮은 술집이네요.\n저 토마토 요리가 인상적이었습니다', '맛있어요 ㅎㅎㅎ 친절해용', '아주 맛있었어요!!!ㅠㅠㅠ 사시미소스도 맛있었습니다 서비스도 감사했어요 ㅎㅎ', '항상 사람이 많아 궁금했었는데\n친구랑가서 맛있게 먹구 왔네요\n제가 좀 짜게 먹기는 해서 제입에는 쫌 싱거웠어요', '강된장쌈밥이랑 우삼겹 숙주볶음 넘 맛있었음요!!\n스지수육도 고기 많고 신선해서 맛났어여\n하이볼 종류도 여심저격 달달한 술들이라 좋았구ㅎㅎ\n사장님이 넘 친절하시구 서비스도 주셔서 감사했습미당\n소스들이 엄청난게 사장님이 요리를 엄청 잘하시는듯해여\n추천박구갑니당\n\n핫플인지 몰리는 시간대엔 웨이팅 있을수도 있으니 오픈시간에 방문하시길', '가볍게 한잔하기 딱좋다. 좁아서 그런지 아늑하고 따뜻한 느낌이 있음', '2차로 방문한 제원 솔담은 안주가 맛있고 아늑한 분위기라 좋았어요! 하이볼 종류도 많았어요:) 강된장솔담쌈밥, 한우육회, 우삼겹숙주볶음 모두 맛있게 먹고 왔습니다!', '신메뉴 두 개 클리어하고 왔어요 ㅋㅋㅋ 기분좋게 친구, 연인끼리 술 한잔 기울이기 좋아요~ 맛도 좋은데 양도 많아서 2차 안 가도 됩니다. 역시 인기좋은 곳은 뭔가 달라도 다르네용', '솔담의 시그니처 돌판스지&수육, 부추무침&스지꼬치! 진짜 맛있어요! 부추도 영양부추라 샐러드 먹는 느낌! 사진을 못찍은 유자하이볼! 주류가 아니라 그냥 음료수 같아 여성분들께서 상큼하게 드실수 있는 알콜! 사장님이 주신 하이볼 서비스는 안 비밀!\n오늘도 맛있게 잘 먹었습니당^^', '너무 좋았어요 \n진짜 맛있고 갓성비 !!! 배부르게 먹었어요 😆\n술이 아주 잘 들어가네요 친절하고 다음에 또 올래요', '돌판스지수육 고기 넘 부드럽고 맛나네요 ㅎㅎ 굿굿\n사장님도 넘 친절하시고요 ^^ 맛있게 잘먹었습니다', '1년만에 방문했는데 메뉴가 추가되어서 좋았고\n기존메뉴인 스지스육도 맛이 더 풍부해져서\n좋았습니다. 다만 주말 오픈런임에도 불구하고\n넘 인기가 좋아서 금방 만석이 되네요…. 얼추 7시30분 정도되야 테이블이 좀생기는듯 혼술하는 저에겐 좀 눈치가ㅠㅠ 잘 먹고갑니다', '모듬튀김 바삭하니 좋고 분위기 아늑하네요', '육회존맛 >.< 서비스 감사합니당\n또올게요!!!', '아늑한 분위기에 술이 술술 들어가는 곳이에요. 시끄럽지 않아 같이간 지인과 담소 나누기 좋았어요. 스지도 쫄깃하고 고소해 너무 맛있었어요!!', '안주도 맛있고 분위기도 아늑해서 좋았습니다! 제원에서 간단히 술한잔하기 좋은 곳이에요. 특히 돌판스지수육 진짜 미쳤습니다! 꼭 드셔보세요ㅎㅎ', '여기 너무 맛있어요 !!!! 스지김치찌개랑 쌈밥 꼭 드세요 😋 사장님도 친절하시고 !! 술이 술술 들어가는 곳입니다 👍🏻', '맛있어요 !! 서비스감사합니다 ㅠㅠㅜ🤍💓', '맛나요', '안주가 넘나리 맛있어서 술이 술술술 드가더라구요!\n혼술 하러 오시는분도 있고 분위기 좋아요 바테이블이 있어 혼술 나쁘지 않을거 같고 저흰 2차때 갔는데 웨이팅 있더라구요! 기다렸다가 먹기 성공적이에요!', '맛있는게 너무 많은 솔담이라서 뭘 먹을까 고민하다가 스지김치찌개 솔담주먹밥 이렇게 시켜서 먹었는데요. 최고의 픽 이었습니다 고소한 스지와 칼칼한 찌개가 너무 잘 어울리고 담백한 솔담 주먹밥이 너무 잘 어울려서 남기지 않고 다 먹고 나왔네요 같이 간 남자친구가 너무 맛있다며 또 오자고 하네요 :) 단골 예정! 다음에는 하이볼 먹으러가겠습니다!', '와.. 안주 다 맛있었어요!! 스지를 꼬치로 파는곳은 처음 봤는데 너무 맛있더라구요 :) 그리고 우삼겹숙주볶음은 라이스페이퍼 튀긴거에 싸먹으면 환장조합! 하이볼 종류도 많고 다찌 자리도있어서 혼술하기도 좋을것 같아요. 다음에는 스지수육먹으러 다시 방문할께요!!', '사진 상으로는 안보이지만 스지와 수육 아래에 국물이 있어서 맛있는 고기와 시원한 국물로 즐거운 술자리를 가졌어요ㅎㅎ 다음에도 방문할게요😊']"
분식,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240223_174%2F1708657539279Ub3qH_JPEG%2FKakaoTalk_20240222_153446059.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230328_151%2F167997327724011duG_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6%25BA%25ED%25B7%25CE%25B1%25D7%25BE%25C6%25C0%25CC%25C4%25DC_161x161.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231222_58%2F1703225402202KwtwG_JPEG%2F%25B0%25C9%25C0%25DB%25B6%25B1%25BA%25BA%25C0%25CC_%25BD%25C5%25B8%25DE%25B4%25BA%25C0%25CE%25BD%25BA%25C5%25B8001_%25281%2529.jpg""']",4.41,196,8,"['여행후 피곤해서 배달 음식.\n뭐니뭐니해도 매콤 달콤 한국의 맛이 최고네용', '매운걸 잘 못먹는 저에게 가장 알맞는 걸작떡볶이치킨 입니다!', '양이 많고 맛있어서 좋아요', '떡볶이 치킨 둘다 너무 맛있고\n주인어르신이 친절하셔서 \n포장 픽업 갈때마다 기분이 좋아지는 가게!', '좋아요', '떡볶이 맛집', '주인내외분께서 친절하시고\n맛있어서 자주 먹는 편입니다!\n\n매운맛 2단계면 맵찔이한테도 안 매운 정도!', '걸작 떡볶이 처음 먹어보는데 맛있네요~ \n보통맛이 2단계인가봐요~ \n요즘엔 매운거 잘 못먹어서 2단계 ㅎㅎ\n혼자 먹으려니 양이 많아서 사장님께 말씀 드리니\n남은거 포장도 해주시고 아주 친절하시네요~^^\n감사합니다! 많이 파세요~~~', '떡볶이 깔금 매콤하고 치킨도 맛있네요', '사장님 친절하세요 맛있구요 ㅎㅎ 굳b', '', '사장님 너무 친절하시고\n음식도 너무 맛있습니다!!\n2단계도 살짝 매운편', '소떡 소떡 먹었어요', '', '배달해서 편안하고. 맛있게 잘 먹었습니다.\n계란찜 너무 좋았어요', '딱 2인이 먹기 좋은 양이에요\n맛있고 조합이 좋고 \n너무 맛있게 먹었습니당!!\n또 갈 의사가 있어요 ㅎㅎ', '주인 어르신이 아주 친절하세요!\n치킨, 떡볶이 둘 다 맛있고,\n계란찜이랑 튀김같은걸 서비스 주셨네요!\n떡볶이 매운맛 4단계 먹엇는데,\n꽤 매웠어요ㅎㅎㅎ', '즉석떡볶이기 먹고싶었는데 하는 곳이 없어서 아쉬운데로~\n하지만 써비스로 주신 컵계란찜도 맛있고,튀김도 맛있었어요.', '좋아요', '비싸요', '맛잇어요', '굿', '^^', '좋아요', '좋아유', '좋좋좋', '너무 맛있다', '떡볶이만 잘하던지 치킨만 잘하던지 둘 다 맛있으면 어떻게해요? 맛있어서 화난다', '굿!', '맛있어요']"
