foodCategory,images,rating,visitReviewCount,blogReviewCount,review
한식,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230719_107%2F1689746204345VUXEj_JPEG%2FKakaoTalk_20230719_135858447.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230719_13%2F1689746203788YrFOY_JPEG%2FKakaoTalk_20230719_135858447_01.jpg""', '""https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230719_244%2F16897462035967yED6_JPEG%2FKakaoTalk_20230719_135858447_02.jpg""']",4.49,341,454,"['오랜만에 방문한 추억의 빨간집!\n매콤한 오돌뼈와 주먹밥\n달콤한 양념의 등갈비\n부드러운 계란찜\n여전히 맛있네요 ㅎㅎㅎ', '연동맛집 빨간집제원점\n즉석떡볶이 양많고 달달하니 맛있었어요 오돌뼈랑 김가루 주먹밥은 환상조합!', '매콤한게 땡겨 국물닭발 먹고왔는데!! 진짜 맛있게 먹구왔아요~!! 주먹밥 계란찜까지 같이시켜서 한입 가득가득 먹고오니 스트레스도 풀리고!! 맛도 달달구리매콤한게 최고 맛났어요>< 자주 방문할게요!', '맛있고 친절한 곳!! 매운게 생각 날 때는 무조건 빨간집 제원점이죠~~ ❤️', '드디어 빨간집에 왔네요. 매장도 크고 깨끗하고 자리도 많아서 바로 앉았어요. 즉석떡볶이 양 많고 적당히 매콤해서 주먹밥이랑 잘 어울려요.', '존맛', '즉석떡볶이 진짜 맛있었어요 ㅋㅋㅋ\n오뎅탕두 얼큰하구 다들 친절하고\n분위기도 너무 좋아서 \nㅋㅋㅋㅋ담에또갈게여 추천', '국물 닭발 너무 맛있어요! 김가루밥 부르게 하는 마성의 맛 . . . 등갈비구이도 너무 맛있어서 뼈만 남기고 다 먹었어요🙂', '매운거 좋아해서 자주 가는 곳이에요', '빨간집 제원! 사장님의 섬세함이 느껴진다..\n무엇보다 마음에 든건 가게 근처의 청결함이다! 사실 주변 가게들은 더럽다!!! 군계일학! 단연 돋보인다. 맵 찌질이인 나도 방문하게 만든곳.\n진짜. 마약 매운맛이 이런거구나 느꼈다.\n매워도 자꾸.. 먹게되는. 👍👍👍', '깨끗해 위생이 좋고 빨간닭발 나오자마자 불향이 바로 나는게 불향이 너무 맵지도 않고 딱 맛있게 먹을 수 있는 맵기입니다!\n계란찜도 몽글몽글 계란찜 너무 맛있어요! 주먹밥도 밥 세공기는 돼 보이는 양이예요 완전 가성비 좋고 맛도리있는 곳이예요!\n연동맛집이네요! 단골해야겠어요!🔥🔥', '좋아요', '인테리어가 옛날 만화나 그림이 다양하게 있어서 보면서 옛추억도 생각나고 말하기에 좋았고 음식 양도 많고 배부르게 먹을 수 있어서 더 맛있어요~!', '계란찜 접시에 담아져서 나옵니다!', '제주공항 10분 거리라 편하게 방문 가능하고 뉴트로, 레트로 감성 가득한 인테리어가 멋스럽습니다!! 음식 맛도 너무 좋아요', '레트로 감성 가득한 제주 술집이라 사진 찍으며 놓가 좋았다 공항과 가까워서 접근성이 좋고 등갈비가 특히 맛있다 계란찜이 푸딩처럼 부드러워서 함께 먹음 아주 굿 !!', '제주 공항에서 10분거리인 맛집!!\n공항이랑 가까워서 너무 좋고 맛있는 빨간메뉴가 엄청 많아요ㅎ\n오돌뼈는 불맛이 나서 너무좋고 등갈비는 단짠단짠이라 너무좋아요!!\n매운걸 확 내려줄수있는 푸딩같이 부드러운 계란찜도 진짜 너무맛있어요\n직원분들도 친절하시고 가게도 너무 깨끗해요', '제주공항 10분 거리라 여행하는 분들도 편하게 먹을 수있을 것 같아요 맛있는 뉴트로, 레트로 감성 가득한 인테리어가 너무 예뻐요 오돌뼈는 불맛이 나고 등갈비는 단짠 ...ㅠㅠ 달걀찜도 푸딩같이 넘 맛있었어요', '닭발 좋아해서 검색해서 갔습니당 닭발도 맛있고 계란찜도 맛있어용 잘 찾아갔어요!', '도민맛집이에요👍 무뼈닭발, 등갈비가 도민인 지인추천메뉴라 먹어봤는데 역시 맛있어요. 안주로 국물 빠지면 섭섭해서 오뎅탕도 같이 먹었는데 조합최고에요', '제주공항이랑 가까워요!! 다음날 비행기 타야되서 마지막날은 깔끔하게 가까운곳에서 놀았습니다 ㅋㅋㅋ 레트로 느낌이고 오돌뼈 맛있어요!!', '제주사는 친구집 놀러왔다가 친구 추천으로 같이 등갈비 먹으러 왔는데 진짜 맛있어요!!! 불맛 확나고 야들야들해서 뜯어먹기도 좋았어요~~~ 담엔 즉떡도 먹어보려구요', '다 좋은데 홀 보시는 분 좀 교육 다시 시켜주시길\n한국말도 잘 못하는데\n서비스도 엉망이니까\n참....', '분위기 좋고 모임하기도 좋아요\n근데 빨간집이라 그런가 전체적으로 메뉴가 매워서 확인이 필요할 것 같아요! 푸파하기에는 힘들었습니다,,', '추운날 매운거 땡기는 겨울 \n국물닭발 진짜 맛있어용 어제는 콩나물국도 맛있었고 \n국물닭발에 당면 삶음계란 추가해서 먹는데 맛있고 \n계란찜도 추가해서 먹었는데 부드러워여 \n사진은 못 찍었지만 \n일 하시는분들 다 엄청 친절해여 ㅠㅠ \n진짜 여기 제원 빨간집은 뭘 먹어도 다 맛있어요 ㅋㅋ \n분위기도 좋고 어두워서 얘기하기도 좋고', '빨간집제원점은 두말하면 입아파요,,, 매운거 땡기면 무조건 제주제원맛집인 빨간집와야함니다❤️ 매주 생각나서 안올수가 없어요ㅠㅠㅠ!!!! 내일 또가야지!!!', '제주제원맛집 빨간집을 다녀왔어요. 인테리어 너무 멋지고 평일인데도 매장이 꽉 찼어요. 메뉴 전부 맛있네요 ㅠ 오돌뼈는 달달하고 불맛이 느껴지고 국물닭발은 진짜 아찔하게 매웠어요!! 다음에도 스트레스 받으면 꼭 방문할게요!!👍', '찐 도민맛집 빨간집 제원점\n배달로만 시켜먹다 직접 방문 해서 먹으니 더 맛있더라고요! 분위기도 좋고 맛도 좋은곳!\n친절함은 기본입니다🤗', '빨간집제원점 정말 오랜만에 방문하는데 역시나 최공 👍❤️ \n양도 푸짐하고 매콤함이 딱! 맛있게 매콤해서 배부른것도 잊으면서 먹은거같아요 ㅋㅋㅋㅋㅋ 나오는 노래들도 하나같이 제 취향…❤️❤️연동맛집 찾으신다묜 꼭 가보셔야합니잔~~~~ 떡볶이 달달구리 매콤쓰하구 오돌뼈는 두말하면 입아프죠..ㅎ. 제주제원맛집 빨간집 !!!!! 도장 쾅쾅쾅', '제주빨간집 유명한거 다들 아시죠! 매운거 땡길 때마다 젤 먼저 생각나는 빨간집~~ 빨간집\n제원점은 늘 갈 때마다 사람이 붐비는데 그런\n곳은 늘 이유가 있어용 맛있게 매워요🫶🏻🫶🏻\n맛있는 빨간집 너무조앙']"
x,x,x,x,x,x
한식,"['""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170816_70%2F1502865820947KQX6q_PNG%2FboYF0EX9PY0SOv2FJgSlI9U3.PNG.png""', '""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170816_13%2F1502865829331tvCN7_PNG%2FAw9CMF8mxHSCkYVCsElEcvM1.PNG.png""']",4.23,142,31,"['반찬은 딱 정식집 반찬정도 가짓수구요\n계란후라이 해먹을수있는데 계속 사람이 있어서 못먹었어요 ㅜ\n아이들 먹을 반찬이 별로 없었는데 컵라면 있어서 맛있게 먹었네요 ㅋㅋ\n저는 반찬이 다 맛있어서 과식했어요!\n아이들과 가기엔 좀 아쉽고 어른들 오며가며 들러 먹기에 좋을것같아요 ㅎㅎ', '좋아요', '한식 정식집 첫방문 맛있어요', '맛있어요', '가성비 대박 ㅋㅋ 조미료 없이 그냥 손맛으로 다 만드시는 듯\n인테리어 미스가 아쉽고 동선만 바꾸면 더 좋을텐데.. 무튼 8,900원에서 탐나는전카드 할인 10프로까지 됩니다\n가격은 혜자!', '두번은 안갈꺼 같아요', '음식 맛있어요', '가끔 편하게 이것저것 먹으러 가기 좋아요!', '좋아요', '한식뷔페\n종종 갑니다', '맛있어용~ 접시가 왕 커요', '', '보통이요', '맛있어요', '맛있고 좋아요~^^', '저렴하게 잘 먹었습니다 ^^', '있는 동안 자주 올께요', '너무 맛있게 잘 먹고 갑니다', '집밥 느낌', '좋아요', '이런 로컬 식당 좋아요 ~', '가성비 좋고 사장님도 친절해서 좋아요\n배부르게 잘 먹었습니다^^', '열흘살기 와서 요렇게 맘에든 식당이 없어요~\n먹다기 찍어서 좀 안푸짐해 보인다...ㅠ\n정확히 11시에 오픈이고 딱 점심만 먹을 수\n있음\n계란후라이 셀프\n커피믹스 식혜 있고~\n우리편식쟁이 아들은 김하고 잔치국수만 먹었는데\n6500원에 그저 감사할따름..\n우리아들은 고마움을 넘어 미안하다며..ㅎㅎ\n9월 명절에 일주일 있는동안 3번은\n다시 올집♡\n오늘 제주도 마지막날 맛있고 푸짐하게 \n잘먹고 가요~~!!', '동네맛집이에요 맛나요', '', '아점으로 딱이에요. 식혜 왜이렇게 맛있나요?\n1시에 가면 못먹어요. \n암튼 추천', '한식뷔페 7900원에\n셀프로 계란후라이, 비빔국수, 컵라면 먹을수있고\n요쿠르트, 식혜, 믹스커피를 후식으로 먹을수 있는\n제주도 애월 장전리에 있는 고마운 식당이다\n\n반찬은 날마다 바뀌니 사진으로 대충 느낌만 알아가면 되고 참고로 추가반찬이 주방쪽에도 있다\n\n해장에 좋을거 같은 두부+콩나물+김치국이 있지만\n음식 남기면 3000원이라는 문구에 쫄아서 국은 안먹고 있다.\n\n집밥 스타일에 날마다 골고루 먹고 싶다면\n혼밥인데 눈치가 보인다면\n점심으로 추천합니다.\n\n제주도 로컬식당이라 점심시간 11~2시만 운영합니다.', '굿', '빠르게 먹을수있어 점심에 자주이용하고있어요~\n물론 메뉴도 다양하고 맛도 좋아요 : )', '사장님이 매우 친절하시고 음식도 종류도 다양하고 맛있어요\n점심시간마다 가서 먹고 있어요 \n메뉴도 매일 다양하게 바뀌니까 점심 메뉴를\n고민할 필요도 없어요']"
양식,[],4.23,142,31,"['', '', '', '', '', '', '', '', '', '']"
x,x,x,x,x,x
양꼬치,[],x,44,27,"['맛있어요', '중국음식 파는 곳 중에서 제일 깔끔해요\n벽에 울룩불룩한 돌로 인테리어되어 있으니까\n혹시나 기댈 때 머리 조심하세요', '친절 해요', '양꼬치 맛있어요~^^', '친절 해요', '잘먹었습니다 맛있어요', '맛있어요', '양꼬치 12000원이라고 되있는데\n왜 14000원 결제된건가요?가격이 오른건지먼지 전화도 안받네..\n은박지에 양꼬치 하나싸고 비닐에 쯔란싸서 비닐봉지 하나에 들고오는데..진짜 짜증이..\n양을 더 주는것도 아니고 밑반찬도 가게서 먹는거조차 안챙겨주고 포장 매리트가 전혀 없어요.\n가격도 맛도 특별함도 없는 그냥그런 가게입니다.최소한 포장용기라도 있던가.은박지에 돌돌싸서 쯔란하나랑 먹을거 왜 포장한건지..다시는 안갑니다.', '맛있어요ㅎ', '화장실이 공용이라 약각불편. 하지만 양꼬치 맛있고 친절하심!', '좋아요', '좋아요', '며칠전에 갔는데 12시까지영업이라 어쩔수없이 다른집갔어요. 근데진짜 경성양꼬치만한집이 없음....\n어디갈지 후기보시는분들 딴데가지말고 경성가세요!!', '좋아요', '굿', '😎', '제주도민 찐 맛집', '양꼬치 2인분 포장해와서 먹었어요~ 쯔란도 넉넉히 주시고 고기가 정말 맛있었어요. 담에 또 요기서 먹어야지 싶었네요. 아! 사장님도 친절하셔요~', '맛있게 잘 먹었습니다~', '양갈빗살도 맛나고 가지튀김볶음이 최애ㅠㅠ\n넘 맛있어서 이거먹으러 멀리서 먹으로 맨날 옵니다. 사장님이 홍보하나도 안하셔서 제가 자진 리뷰남깁니다. 꿔버로우도 맛나용', '', '맛있어요', '', '', '', '', '', '', '', '']"
주택,[],x,44,27,"['', '', '', '', '', '', '', '', '', '']"
x,x,x,x,x,x
해장국,"['""https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190123_292%2F1548230474879F2jp6_JPEG%2FvYMTVDlYBxlwpmBfNSfK_1Sj.jpg""']",x,7,0,"['최고입니다^^', '친절하시고 너무너무 맛있어요\n매운거 좋아하시는 분들 맵게해달라고 하시면 진짜 맛있음\n깍두기 김치 등 다 너무 맛나요', '평생 제주도 살면서 먹어본 해장국 중 세손가락안에 꼽음', '술취한아저씨가 불안불안 하게 서빙하시고\n밥먹는 내내 큰소리로 술주정 하는데 체할뻔\n아주머니가 안스러워서 그냥 먹고 나옴', '', '', '', '', '', '']"
x,x,x,x,x,x
